time,rate
01-2016,6.616205000000001
01-2017,6.858513636363637
01-2018,6.429695652173914
01-2019,6.7969804347826095
01-2020,6.931982608695652
01-2021,6.4699425
01-2022,6.362266666666666
01-2023,6.791252272727272
01-2024,7.181782608695653
02-2016,6.550285714285715
02-2017,6.84589
02-2018,6.3171574999999995
02-2019,6.7490049999999995
02-2020,7.001965
02-2021,6.449455
02-2022,6.3429525
02-2023,6.8499324999999995
02-2024,7.211316666666666
03-2016,6.5013
03-2017,6.881521739130435
03-2018,6.312654545454546
03-2019,6.718228571428571
03-2020,7.034320454545455
03-2021,6.514252173913043
03-2022,6.356826086956522
03-2023,6.898208695652174
03-2024,7.2197547619047615
04-2016,6.4857571428571426
04-2017,6.8877049999999995
04-2018,6.2908309523809525
04-2019,6.719525000000001
04-2020,7.083047727272727
04-2021,6.520177272727273
04-2022,6.448780952380952
04-2023,6.894912499999999
04-2024,7.254649999999999
05-2016,6.549214285714286
05-2017,6.874486956521739
05-2018,6.366232608695652
05-2019,6.876278260869566
05-2020,7.127559523809524
05-2021,6.428516666666667
05-2022,6.7209
05-2023,7.0021760869565215
05-2024,7.238784782608696
06-2016,6.604186363636364
06-2017,6.800427272727273
06-2018,6.4697071428571435
06-2019,6.90702
06-2020,7.081084090909091
06-2021,6.428927272727273
06-2022,6.697120454545455
06-2023,7.173411363636364
06-2024,7.275164999999999
07-2016,6.686852380952381
07-2017,6.771257142857143
07-2018,6.732486363636363
07-2019,6.882493478260869
07-2020,7.010152173913043
07-2021,6.477209090909091
07-2022,6.737035714285714
07-2023,7.193657142857143
07-2024,7.278254347826087
08-2016,6.657321739130436
08-2017,6.6770695652173915
08-2018,6.850254347826087
08-2019,7.084172727272727
08-2020,6.924842857142856
08-2021,6.476213636363636
08-2022,6.812839130434782
08-2023,7.264713043478261
08-2024,7.148695454545455
09-2016,6.679031818181818
09-2017,6.569109523809524
09-2018,6.8596699999999995
09-2019,7.115080952380952
09-2020,6.812818181818182
09-2021,6.456493181818181
09-2022,7.026040909090909
09-2023,7.30377380952381
09-2024,7.077266666666667
10-2016,6.7424333333333335
10-2017,6.6239
10-2018,6.926115217391304
10-2019,7.092354347826087
10-2020,6.709625
10-2021,6.420461904761905
10-2022,7.200045238095238
10-2023,7.3174363636363635
10-2024,7.1059152173913045
11-2016,6.864295454545455
11-2017,6.6239
11-2018,6.9352113636363635
11-2019,7.020285714285714
11-2020,6.594864285714286
11-2021,6.389343181818182
11-2022,7.17615909090909
11-2023,7.228506818181819
11-2024,7.2180333333333335
12-2016,6.928868181818182
12-2017,6.589252380952381
12-2018,6.888585714285715
12-2019,7.0091909090909095
12-2020,6.5256173913043485
12-2021,6.373813043478261
12-2022,6.97990909090909
12-2023,7.150171428571429
12-2024,7.2822000000000005
