code,span,btd,atd
090111,2,,0.2508906461727918
090111,3,-0.13736577257076893,0.2508906461727918
090111,4,,0.2508906461727918
090121,2,-0.36105881599572603,-0.12310763955011512
090121,3,-0.057001544697583464,-0.10298453225802731
090121,4,,-0.23994219555173738
090122,2,0.09232110283635869,-1.3853849902216366
090122,3,0.09232110283635869,2.9314603425718957
090122,4,,2.9314603425718957
090210,1,0.0,0.7250000000000001
090210,2,-0.28785899984548996,0.34925465812748
090210,3,0.2461171682122662,0.37891200647781614
090210,4,,-0.7408451261308036
090220,1,1.0,0.0
090220,2,1.7463829141478882,-0.3518540082154605
090220,3,0.3406661157914325,-0.4286060180252002
090220,4,,-0.526217568435059
090230,1,0.125,0.7500000000000001
090230,2,-2.149205628704805,-0.47279709568996414
090230,3,0.3357044291163722,-0.20231958596713884
090230,4,,-0.4307979161102831
090240,1,,0.35000000000000003
090240,2,-0.5223776948256312,-0.2034104018854142
090240,3,-0.3328034920109586,-0.33865468816687805
090240,4,,-0.38477633937107447
090411,2,2.0670026711451097,1.234362503559991
090411,3,2.0670026711451097,1.234362503559991
090411,4,,-0.24452052698688656
090412,1,-1.75,
090412,2,-0.24885750303860119,-0.42030933383561614
090412,3,-0.21304029325545415,0.5118856514047158
090412,4,,2.2347617883915754
090421,2,-0.16302756929032208,
090421,3,0.42752481739265147,
090422,2,-0.002104530997481376,0.1764266632942137
090422,3,0.32406780394167384,-1.398349781943538
090422,4,,-1.398349781943538
090962,3,-4.090321856578559,
091011,3,0.08512025618368842,
091012,2,-0.6170776029435486,-0.22876801610392372
091012,3,0.09140958832582623,-0.22876801610392372
091012,4,,-0.22876801610392372
091030,2,0.027268592114099297,-1.7653371907564237
091030,3,0.027268592114099297,-1.7653371907564237
091030,4,,-1.7653371907564237
091091,1,-0.09999999999999999,11.0
091091,2,1.6624315096846412,-0.5335297894199
091091,3,1.1874288540952491,7.1272695329105735
091091,4,,7.1272695329105735
091099,2,0.15260705162170374,0.2857959056393239
091099,3,-0.8303651601578315,0.39500579989039813
091099,4,,0.39500579989039813
